date,terminal,volume_bbl,total_liquids_mbbl
2026-02-01,BONGA,56625.0,0.056625
2026-03-01,BONGA,2851669.0,2.851669
2026-04-01,BONGA,3063742.0,3.063742
2020-01-01,BONNY,8123325.0,8.123325
2020-02-01,BONNY,8643681.173614217,8.643681173614217
2020-03-01,BONNY,9782367.48772096,9.782367487720961
2020-04-01,BONNY,8405625.0,8.405625
2020-05-01,BONNY,8321152.284945667,8.321152284945667
2020-06-01,BONNY,6842895.009979403,6.842895009979403
2020-07-01,BONNY,6286352.611577685,6.286352611577685
2020-08-01,BONNY,6237249.0,6.237249
2020-09-01,BONNY,5971336.5,5.9713365
2020-10-01,BONNY,5783002.8,5.7830028
2020-11-01,BONNY,7023892.59398761,7.02389259398761
2020-12-01,BONNY,7698348.27,7.698348269999999
2021-01-01,BONNY,8039359.925182328,8.039359925182328
2021-02-01,BONNY,6308600.0,6.3086
2021-03-01,BONNY,6235341.0,6.235341
2021-04-01,BONNY,5330718.0,5.330718
2021-05-01,BONNY,6048218.0,6.048218
2021-06-01,BONNY,5797543.886666667,5.797543886666666
2021-07-01,BONNY,4984856.0,4.984856
2021-08-01,BONNY,5966712.0,5.966712
2021-09-01,BONNY,4200211.19,4.20021119
2021-10-01,BONNY,3649760.0,3.64976
2021-11-01,BONNY,3448777.16,3.44877716
2021-12-01,BONNY,3068555.41,3.06855541
2022-01-01,BONNY,4601708.779999999,4.601708779999999
2022-02-01,BONNY,3059732.24,3.05973224
2022-03-01,BONNY,2842879.47,2.84287947
2022-04-01,BONNY,1839671.98,1.8396719799999999
2022-05-01,BONNY,1262048.25,1.26204825
